Version,id
11.21.3,867734662
11.21.12,867835476
11.22.2,868001333
11.22.12,868149247
11.23.2,868305315
11.23.12,868490768
11.24.2,868699095
11.24.13,868863747
11.25.2,869083521
11.25.14,869200699
11.26.3,869363060
11.26.12,869701882
11.27.2,869880192
11.27.12,870015698
11.28.3,870198258
11.28.12,870330631
11.29.2,870490021
11.29.3,870575259
11.29.13,870683224
11.30.2,870829501
11.30.3,870920997
11.30.12,870998221
11.31.4,871224141
11.31.10,871328222
11.32.2,871445373
11.32.12,871550890
11.33.14,871719746
11.34.4,872098165
11.34.5,872440247
11.34.13,872552328
11.35.3,872741979
11.35.4,872801308
11.35.5,872866442
11.35.13,872937379
11.36.4,873104004
11.36.13,873295652
11.37.3,873478206
11.37.13,873669885
11.38.4,873827202
11.38.13,874013630
11.39.3,874181095
11.39.13,874332266
11.39.14,874364390
11.40.3,874642039
11.40.4,874755889
11.40.13,874888707
11.41.3,875067765
11.41.13,875281354
11.42.3,875423309
11.42.13,875615667
11.43.3,875802283
11.43.13,875985881
11.43.14,876034439
11.44.3,876188193
11.44.4,876256398
11.44.13,876399701
11.45.3,876561956
11.45.4,876624662
11.45.13,876757642
11.45.14,876823968
11.46.4,876986938
11.46.13,877144384
11.47.3,877332731
11.47.13,877535999
11.48.3,877737288
11.48.13,877985845
11.49.3,878112413
11.49.13,878318617
11.50.3,878924390
11.50.13,879076684
11.51.3,879253876
11.51.3,879413859
11.51.13,879446306
11.52.3,879639660
11.52.13,879852706
11.52.14,879910327
11.52.15,879944530
11.53.3,880026668
11.53.13,880228295
11.53.14,880279579
11.54.3,880433663
11.54.4,880512961
11.54.13,880675802
11.55.3,880898342
11.55.13,881187150
