Version,id
11.63.0,867641750
11.64.0,867999348
11.65.0,868178322
11.66.0,868705217
11.67.0,869236929
11.67.2,869732651
11.67.3,869764010
11.68.0,869949982
11.69.0,870560166
11.70.0,870892250
11.70.1,871279885
11.71.0,871380186
11.71.1,871574960
12.0.0,871900508
12.0.1,872256645
12.0.2,872321220
12.0.3,872592051
12.1.0,872927933
12.1.1,873017870
12.1.2,873302152
12.1.3,873446213
12.2.0,873519244
12.2.1,873581536
12.2.2,873993608
12.3.0,874111443
12.3.1,874185892
12.3.2,874363792
12.5.0,874618123
12.5.1,874727741
12.6.1,875078909
12.6.2,875312059
12.7.0,875865500
12.7.1,876005498
12.8.0,876255280
12.8.1,876412580
12.9.0,876492960
12.9.2,876832142
12.9.3,877017097
12.10.0,877224031
12.11.0,877533684
12.11.1,877779288
12.11.2,877849717
12.12.0,878021235
12.13.0,878421544
12.14.0,879176550
12.15.0,879899599
12.16.0,880110090
12.17.0,880309549
12.17.1,880417141
12.17.2,880654559
