Version,id
5.47.3,867737264
5.48.0,867910666
5.48.1,867943668
5.49.0,868221570
5.49.5,868398770
5.50.0,868548718
5.50.1,868680689
5.51.0,868919257
5.51.1,869029429
5.51.5,869122565
5.52.0,869256148
5.52.1,869437616
5.53.0,869764014
5.53.1,869861706
5.53.5,869953111
5.54.0,870105773
5.54.1,870198000
5.55.0,870356372
5.56.0,870729005
5.56.1,870834499
5.56.5,870924558
5.57.0,871020145
5.57.5,871204250
5.58.0,871391414
5.58.1,871519331
5.59.0,871606206
5.59.1,871760003
5.60.0,871963519
5.60.1,872045813
5.60.5,872318784
5.61.0,872500427
5.61.1,872540228
5.61.2,872567450
5.61.3,872676401
5.61.4,872713218
5.62.0,872845710
5.62.1,872885991
5.62.5,872965577
5.62.6,873059400
5.63.0,873214715
5.63.1,873301542
