Version,id
1.2024.199,867492786
1.2024.200,867660658
1.2024.205,867696151
1.2024.206,867785620
1.2024.212,867879069
1.2024.213,867989707
1.2024.219,868054651
1.2024.226,868155972
1.2024.227,868327243
1.2024.233,868394551
1.2024.240,868506518
1.2024.247,868762670
1.2024.254,868877669
1.2024.261,869045874
1.2024.262,869219884
1.2024.268,869278880
1.2024.275,869390120
1.2024.282,869542939
1.2024.289,869735790
1.2024.296,869874215
1.2024.297,870057207
1.2024.303,870086256
1.2024.304,870191964
1.2024.310,870215971
1.2024.317,870513194
1.2024.318,870540184
1.2024.324,870598064
1.2024.325,870678639
1.2024.332,870734233
1.2024.338,870932469
1.2024.339,871047119
1.2024.345,871076069
1.2024.346,871163663
1.2024.347,871244884
1.2024.348,871272831
1.2025.007,871595991
1.2025.014,871728106
1.2025.021,871929948
1.2025.028,872095880
1.2025.029,872181671
1.2025.030,872193675
1.2025.031,872213966
1.2025.035,872250481
1.2025.036,872391320
1.2025.042,872429645
1.2025.043,872611560
1.2025.049,872641290
1.2025.056,872801200
1.2025.057,872973262
1.2025.063,872982892
1.2025.070,873166030
1.2025.077,873348662
1.2025.084,873532972
1.2025.091,873713665
1.2025.098,873887566
1.2025.105,874065073
1.2025.112,874226650
1.2025.119,874409877
1.2025.126,874571389
1.2025.133,874760014
1.2025.140,874947937
1.2025.147,875121299
1.2025.154,875302516
1.2025.155,875480755
1.2025.161,875516210
1.2025.168,875678012
1.2025.175,875858668
1.2025.189,876242816
1.2025.196,876429199
1.2025.203,876622234
1.2025.204,876820678
1.2025.210,876877247
1.2025.211,877006110
