Version,id
341.0,867629722
342.0,867660964
343.0,867821102
344.0,867990482
345.0,868149971
346.0,868321356
347.0,868507755
348.0,868722696
349.0,868874083
349.1,869046645
350.0,869075479
351.0,869211575
352.0,869386246
353.0,869543006
354.0,869709205
355.0,869871472
356.0,870026292
357.0,870188897
358.0,870344812
359.0,870508385
359.1,870675376
360.0,870708617
361.0,871016248
362.0,871241158
363.0,871564082
364.0,871722449
365.0,871925064
366.0,872059702
366.1,872210564
367.0,872236622
368.0,872386277
369.0,872571934
370.0,872827744
371.0,872947767
372.0,873119097
372.1,873303837
373.0,873427556
374.0,873488994
375.0,873670810
376.0,873843323
377.0,874023142
378.0,874189050
379.0,874364867
380.0,874528186
381.0,874713099
382.0,874864957
383.0,875105013
383.1,875264531
384.0,875324376
384.1,875438764
385.0,875517647
386.0,875631515
387.0,875824747
388.0,876006864
389.0,876196350
390.0,876383715
391.0,876576974
392.0,876934972
392.1,876967940
393.0,877039938
393.1,877163024
394.0,877203417
395.0,877349757
395.1,877554847
396.0,877692841
397.0,877777447
398.0,877938899
399.0,878131091
400.0,878332041
401.0,878536006
401.1,878708245
401.2,878719069
402.0,878754378
402.1,878849842
402.2,878913555
403.0,879068376
403.2,879087640
404.0,879126360
404.1,879269539
405.0,879279492
405.1,879461622
406.0,879472053
407.0,879646607
408.0,879918641
408.1,880041505
409.0,880249398
410.0,880451130
410.1,880703413
410.2,880851721
411.0,880963647
412.0,881303505
413.0,881427077
413.1,881675771
414.0,881686591
414.1,881855373
