Version,id
4.2428.0,867618699
4.2429.0,867828143
4.2430.0,867982079
4.2431.0,868111866
4.2432.0,868274789
4.2433.0,868463811
4.2434.0,868705292
4.2435.0,868879697
4.2438.0,869395441
4.2439.0,869497829
4.2439.1,869620298
4.2439.2,869764504
4.2441.0,869833618
4.2442.0,869993261
4.2442.1,870118916
4.2444.0,870309256
4.2445.0,870462512
4.2445.1,870544975
4.2445.2,870607098
4.2447.0,870882314
4.2447.1,871056700
4.2452.0,871507650
4.2452.1,871777762
4.2502.0,871842138
4.2503.0,872025084
4.2504.0,872169667
4.2504.1,872482878
4.2506.0,872565850
4.2506.1,872667086
4.2507.0,872708752
4.2507.1,872850294
4.2509.0,873103413
4.2510.0,873257819
4.2510.1,873350841
4.2511.0,873452904
4.2512.0,873630585
4.2512.1,873772425
4.2513.0,873808831
4.2513.1,873882434
4.2514.0,873971156
4.2515.0,874144342
4.2516.0,874335328
4.2516.1,874464392
4.2517.0,874569036
4.2519.0,874853555
4.2520.0,875033532
4.2521.0,875213676
4.2522.0,875396046
4.2523.0,875579461
4.2524.0,875770263
4.2525.0,875979690
4.2526.0,876129432
4.2527.0,876370199
4.2527.1,876525268
4.2528.0,876558697
4.2529.0,876725158
4.2530.0,876914030
4.2530.1,876987130
4.2531.0,877112261
4.2532.0,877301810
4.2533.0,877500331
4.2534.0,877715265
4.2534.1,877789951
4.2535.0,877889865
4.2537.0,878344125
4.2537.1,878389008
4.2538.0,878481914
4.2539.0,878673468
4.2539.1,878861236
5.2541.0,879054647
5.2542.0,879235248
5.2542.1,879378105
5.2543.1,879473909
5.2544.0,879610038
5.2544.1,879763272
5.2545.0,879805609
5.2545.1,879886429
5.2546.0,879991864
5.2547.0,880190800
5.2548.0,880437599
