Version,id
1.6.5,867078794
1.6.6,867690710
1.6.7,868018954
1.6.8,868077337
1.6.9,868367498
1.7.0,868700864
1.7.1,868789201
1.7.2,868930392
1.7.3,868947164
1.7.4,869035577
1.7.5,869053261
1.7.6,869099745
1.7.7,869108280
1.7.8,869180500
1.7.9,869194647
1.8.0,869343192
1.8.1,869398083
1.8.2,869432135
1.8.3,869588946
1.8.4,870147266
1.8.5,870165398
1.8.6,870411298
1.8.7,870828581
1.8.8,870956080
1.8.9,871222385
1.9.0,871437821
1.9.1,871617483
1.9.2,871887645
1.9.3,872324878
1.9.4,872567845
1.9.5,872796573
