Version,id
17.7.1,867566379
17.8,867761917
17.9,868164799
17.10,868711195
17.10.2,869145286
17.11,869589176
17.12,869854372
17.13,870449081
17.14,870947820
17.15,871412540
17.15.5,871507725
17.16,872280639
17.17,872686018
17.18,872733924
17.19,873663289
17.19.4,874229110
17.20,874643592
17.20.1,874755916
17.21,875017591
17.22,875558937
17.22.1,875901509
17.23,876131196
17.23.1,876365615
17.24,876702370
17.25,877281156
17.25.1,877466335
17.26,877570225
17.26.5,878025474
17.26.8,878145469
17.27,878827965
17.28,879391481
17.29,879955846
17.29.1,880034362
