Version,id
5.34.0,867568323
5.35.0,867731214
5.36.0,867898176
5.37.0,868063690
5.38.0,868236227
5.39.0,868410095
5.40.0,868573840
5.41.0,868789389
5.42.0,868962244
5.43.0,869136044
5.44.0,869299796
5.45.0,869639314
5.46.0,869790890
5.47.0,869944278
5.48.0,870106183
5.49.0,870268121
5.50.0,870361933
5.51.0,870604749
5.52.0,870712746
5.53.0,870920464
5.54.0,871096600
5.54.1,871175973
5.55.0,871260088
5.56.0,871280358
5.57.0,871490187
5.58.0,871552661
5.59.0,871767467
5.60.0,871965267
5.61.0,872469102
5.62.0,872653691
5.63.0,872839664
5.64.0,873022319
5.65.0,873203528
5.66.0,873287492
5.67.0,873474265
5.68.0,873744012
5.69.0,873951804
5.69.1,874007886
5.70.0,874096758
5.71.0,874337767
5.72.0,874351031
5.73.0,874804848
5.74.0,874991162
5.75.0,875127967
5.75.1,875318830
5.76.0,875366961
5.77.1,875495888
5.78.0,875709255
5.79.0,875900912
5.80.0,876119111
5.81.0,876295140
5.82.0,876462552
5.83.0,876659474
5.83.1,876769467
5.84.0,876859355
5.84.1,876985714
5.85.0,877066501
5.86.0,877257704
5.87.1,877484373
5.88.0,877533503
5.89.0,877841830
5.90.2,878043027
5.91.0,878234568
5.92.0,878437814
5.93.1,879017337
5.94.0,879168506
5.95.0,879366516
5.96.2,879548297
5.97.0,879626308
5.97.1,879853803
5.98.0,879941814
5.99.0,880146472
6.0.0,880346860
6.1.0,880552052
6.2.0,880810163
6.3.0,881016324
6.4.0,881272036
6.5.0,881552299
6.6.0,881744144
6.7.0,881967405
6.8.0,882217918
6.9.0,882396749
