Version,id
9.30.3,867682838
9.30.6,867728602
9.30.7,867814754
9.31.1,867862191
9.31.2,868040879
9.31.6,868056617
9.31.7,868181566
9.32.1,868194379
9.32.2,868316565
9.32.3,868349676
9.32.6,868366983
9.32.7,868522803
9.33.1,868543475
9.33.2,868672452
9.33.6,868741901
9.33.7,868856063
9.33.8,868888029
9.34.1,868915122
9.34.2,869059430
9.34.6,869093680
9.34.7,869191710
9.35.1,869259583
9.35.6,869578875
9.36.1,869733271
9.36.6,869914386
9.37.1,870067587
9.37.2,870202334
9.37.6,870225349
9.38.1,870382272
9.38.2,870501749
9.38.3,870549873
9.38.6,870620475
9.38.7,870692955
9.39.1,870712927
9.39.2,870877080
9.39.6,870964631
9.40.1,871049794
9.40.2,871170927
9.40.3,871219697
9.40.6,871280613
9.41.1,871373009
9.41.2,871456253
9.41.6,871482534
9.41.7,871586358
9.42.1,871624558
9.42.6,871765365
9.42.7,871926882
9.42.8,871967287
9.43.1,871992018
9.43.6,872254254
9.44.1,872368056
9.44.6,872616136
9.45.1,872845219
9.45.6,872987027
9.46.1,873169443
9.46.6,873427449
9.47.1,873506751
9.47.6,873710761
9.47.7,873916977
9.48.1,873968668
9.48.6,874065555
9.48.7,874188135
9.49.1,874228788
9.49.2,874359524
9.49.6,874374998
9.50.1,874571774
9.50.2,874769092
9.50.6,874778518
9.51.1,874959828
9.51.2,875094007
