Version,id
13.0.0,867393417
13.0.2,868193070
13.0.3,868521767
13.0.4,868954265
13.0.5,869005043
13.0.6,869723728
13.0.7,869857442
13.0.8,870036404
13.0.9,870332933
13.0.10,870526486
13.0.11,870992998
13.0.12,871442765
13.0.13,871706639
13.0.14,872403877
13.0.15,872766423
13.0.16,873170064
13.0.17,873292396
13.0.18,873413846
14.0.0,873565914
14.0.1,873660791
14.0.2,874006962
14.0.3,874335288
14.0.4,874822490
14.0.5,875096042
14.0.6,875621129
14.0.7,875802523
14.0.8,876019724
14.0.9,876407466
14.0.10,876857824
14.0.11,877243501
14.0.12,877759968
14.0.13,878384187
14.0.14,878848649
14.0.15,879290209
14.0.16,879693050
14.0.17,880066960
14.0.18,880546735
14.0.19,880718121
