Version,id
12.3.6,867539706
12.3.7,867741832
12.3.8,867860552
12.4.0,868221031
12.4.2,868679976
12.4.4,868958451
12.5.0,869673741
12.5.2,870025179
12.5.6,870278015
20.0.0,870684199
20.0.2,871049244
20.0.3,871260757
20.0.4,871625637
20.0.5,871846802
20.0.6,872786027
20.0.8,873197585
20.1.0,873536056
20.1.1,873697792
20.1.2,873745382
20.1.4,874108178
20.1.5,874266802
20.1.6,874976705
20.1.7,875198297
20.1.8,875486037
20.2.2,875864026
20.2.3,876098310
20.2.4,876241570
20.2.6,876641106
20.2.7,876900253
20.2.8,877044783
20.2.9,877281052
20.3.0,877456951
20.3.2,877824627
20.3.3,878021232
20.3.4,878180069
20.3.5,878419280
20.3.6,878851456
20.3.8,879226461
20.3.9,879393238
20.4.2,879505490
20.4.4,879885742
20.4.6,880296081
20.4.8,880716663
20.4.9,881017447
20.5.0,881265108
