Version,id
13.62,867706612
13.62.1,867778211
13.62.5,867894578
13.63,868060600
13.63.5,868227949
13.64,868367085
13.64.5,868578516
13.65,868774643
13.66,868916562
13.67,869141170
13.68,869314877
13.69,869640514
13.70,869751729
13.71,869907807
13.71.1,870001001
13.72,870068978
13.73,870251856
13.73.1,870283292
13.74,870385910
13.74.1,870456531
13.75,870552595
13.76,870714543
13.77,870888722
13.78,871055265
13.79,871226663
13.80,871376483
13.81,871488050
13.81.1,871559600
13.82,871604249
13.83,871787649
13.83.5,871963760
13.84,872276765
13.84.1,872338934
13.85,872438207
15.0,872642783
15.1.0,872830803
15.2.0,873009788
15.3.0,873171525
15.4.0,873351846
15.5.0,873539191
15.6.0,873775163
15.6.1,873865437
15.7.0,873891233
