Version,id
2.87,867498005
2.88,867498005
2.88,868159426
2.89,868159426
2.89.1,868159426
2.90,868159426
2.90,869771544
2.90.1,869771544
2.91,869771544
2.91,870375890
2.91.1,870375890
2.91.2,870375890
2.92,870375890
2.92.1,870375890
2.92.1,871131069
2.93,871131069
2.93,872011976
2.94,872011976
2.94,872484935
2.94.1,872484935
2.94.2,872484935
2.95,872484935
2.95,873047021
2.95.2,873047021
2.95.3,873047021
2.95.4,873047021
2.96,873047021
2.96,874057667
2.96.1,874057667
2.96.2,874057667
2.96.3,874057667
2.97,874057667
2.97.1,874057667
2.97.2,874057667
2.97.3,874057667
2.97.3,875265067
2.98,875265067
2.98.1,875265067
2.98.2,875265067
2.98.2,875924173
2.98.3,875924173
2.98.4,875924173
2.99,875924173
2.99.1,875924173
2.99.2,875924173
2.99.2,876813565
2.99.3,876813565
2.99.3,876908942
2.100,877103428
2.100.1,877292725
2.100.2,877463078
