Version,id
127.0.6533.56,867529809
127.0.6533.77,867693685
127.0.6533.107,868001804
128.0.6613.34,868192268
128.0.6613.92,868390569
128.0.6613.98,868509796
129.0.6668.46,868913295
129.0.6668.69,869218438
130.0.6723.37,869601182
130.0.6723.78,869882103
130.0.6723.90,870055429
131.0.6778.31,870223627
131.0.6778.73,870347755
131.0.6778.103,870868607
131.0.6778.134,871015598
131.0.6778.154,871186147
132.0.6834.78,871595025
132.0.6834.100,871891332
133.0.6943.33,872092914
133.0.6943.84,872420003
133.0.6943.120,872574622
134.0.6998.33,872794166
134.0.6998.99,873127109
135.0.7049.35,873531570
135.0.7049.53,873678017
135.0.7049.83,873850805
136.0.7103.42,874225158
136.0.7103.56,874368895
136.0.7103.91,874536155
137.0.7151.34,874942310
137.0.7151.51,875035379
137.0.7151.79,875269007
137.0.7151.107,875473834
138.0.7204.33,875671410
138.0.7204.53,875833927
138.0.7204.56,875890851
138.0.7204.119,875955414
