Version,id
6.9.0,866996454
6.9.1,867741217
6.9.2,867808375
6.9.4,868408072
6.9.5,868485284
6.9.6,868578353
6.9.7,868986464
6.9.8,869113484
6.9.9,869721673
7.0.0,869972992
7.1.0,870260820
7.1.1,870524702
7.1.2,871250555
7.1.3,871360835
7.1.4,871553974
7.1.5,872369228
7.1.6,872956380
7.1.7,873290797
7.1.8,873384980
7.1.9,873927274
7.2.0,874201330
7.2.1,874354216
7.2.2,874546643
7.2.3,874891575
7.2.4,875063205
7.2.5,875527440
7.2.6,876128076
7.2.7,876253584
7.2.8,876754426
7.2.9,877407048
7.3.0,877737700
7.3.1,878354304
7.3.2,878920816
7.3.3,879203593
7.3.4,879321059
7.3.5,879444514
7.3.5,879464837
7.3.6,879885374
7.3.7,880258264
7.3.8,880719151
7.3.9,881009596
7.4.0,881236683
7.4.1,881406007
7.4.2,882107839
7.4.3,882209737
