Version,id
19.29.1,867618791
19.30.2,867776555
19.32.6,868158278
19.32.8,868164469
19.33.2,868271902
19.34.2,868456635
19.35.3,868633176
19.36.1,868826507
19.37.2,869003109
19.37.2,868629621
19.38.2,869163500
19.39.1,869340175
19.39.1,868629621
19.40.4,869495875
19.41.3,869662480
19.42.1,869874220
19.43.2,869988765
19.44.4,870142980
19.45.4,870302942
19.45.4,869831107
19.46.3,870464199
19.47.7,869831107
19.47.7,870628614
19.49.3,870961871
19.49.5,871023076
19.49.7,871136897
20.02.3,871679714
20.03.02,871842433
20.04.1,872012249
20.05.4,872166777
20.06.03,872334841
20.07.6,872517245
20.08.3,872702858
20.09.3,872892845
20.10.3,873070880
20.10.4,873165956
20.11.6,873252800
20.12.4,873440126
20.13.5,873634158
20.14.2,873793819
20.15.1,870842962
20.15.1,873976310
20.16.7,874149063
20.18.4,874485548
20.18.4,870842962
20.18.5,874599304
20.19.2,874661846
20.19.3,874757845
20.20.5,874849967
20.20.7,874967148
20.21.6,875034940
20.22.1,875214761
20.22.1,870842962
20.23.3,875396097
20.24.4,875575654
20.24.5,875706430
20.25.4,875777437
20.26.7,875955469
20.26.7,876267904
20.28.2,876334095
20.29.3,876519244
20.29.3,876267904
20.30.5,876721821
20.30.5,876267904
20.31.5,876915450
20.31.6,877009865
20.31.6,876267904
20.32.4,876267904
20.32.5,876267904
20.33.2,876267904
20.34.2,876267904
20.35.2,877597092
20.36.3,877597092
20.37.3,877597092
20.37.5,877597092
20.38.3,877597092
20.38.4,877597092
20.39.4,877597092
20.39.5,877597092
20.39.6,877597092
20.40.4,877597092
20.41.4,877597092
20.41.5,877597092
20.42.3,877597092
20.43.3,877597092
20.44.2,879409629
20.45.3,879594763
